City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,golere,16.2557,-14.1017,31.92,59,5,6.66,SN,1721353862
338,undurkhaan,47.3194,110.6556,24.34,43,99,2.15,MN,1721353862
339,phongsali,21.6833,102.1058,21.81,93,99,0.15,LA,1721353862
340,labuan,5.2767,115.2417,30.2,74,20,1.03,MY,1721353863
341,cabo san lucas,22.8909,-109.9124,32.61,51,20,6.69,MX,1721353863
342,haimen,23.1935,116.6142,30.94,76,95,4.32,CN,1721353863
343,korla,41.7597,86.1469,25.35,51,100,4.8,CN,1721353863
344,howard springs,-12.497,131.047,23.95,35,0,4.04,AU,1721353863
345,awjilah,29.1081,21.2869,27.18,59,0,4.96,LY,1721353863
346,pale,43.8161,18.5694,16.86,93,40,1.54,BA,1721353863
347,bontang,0.1333,117.5,25.49,90,100,3.26,ID,1721353863
348,bubaque,11.2833,-15.8333,26.41,85,100,7.44,GW,1721353864
349,rosario del tala,-32.3029,-59.1455,13.38,90,0,2.08,AR,1721353864
350,baie-comeau,49.2168,-68.1489,16.82,94,75,3.09,CA,1721353677
351,carnarvon,-24.8667,113.6333,17.26,56,1,6.12,AU,1721353864
352,dumas,35.8656,-101.9732,27.08,41,0,5.66,US,1721353864
353,karasuk,53.7377,78.0403,18.41,90,100,4.39,RU,1721353864
354,kroya,-7.6331,109.2461,27.46,68,16,4.26,ID,1721353865
355,port-cartier,50.0334,-66.8654,18.82,87,21,3.35,CA,1721353865
356,shanhecun,44.7,127.2,27.19,66,15,8.27,CN,1721353865
357,nikolayevsk-on-amure,53.1406,140.73,17.35,97,100,1.97,RU,1721353865
358,leava,-14.3,-178.1667,27.72,73,29,8.0,WF,1721353865
359,huotong,26.8497,119.4181,35.97,50,3,1.45,CN,1721353865
360,laminusa,5.5549,120.9136,28.4,80,100,8.19,PH,1721353865
361,prado,-17.3411,-39.2208,21.76,79,44,2.04,BR,1721353866
362,cles,46.3667,11.0333,21.25,92,1,1.59,IT,1721353866
